City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,upernavik,72.7868,-56.1549,-31.69,99,37,3.98,GL,1680338869
84,mahebourg,-20.4081,57.7,30.16,66,40,5.66,MU,1680338869
85,san cristobal,7.7669,-72.225,18.13,87,100,0.72,VE,1680338754
86,masuguru,-11.3667,38.4167,26.43,83,96,1.91,TZ,1680338870
87,sao filipe,14.8961,-24.4956,25.28,64,0,3.08,CV,1680338870
88,heidelberg,-26.5048,28.3592,20.52,45,6,2.62,ZA,1680338317
89,esso,55.9333,158.7,-7.2,96,20,2.5,RU,1680338871
90,ailigandi,9.2333,-78.0167,25.27,88,100,5.98,PA,1680338871
91,saint-philippe,-21.3585,55.7679,30.06,74,16,6.4,RE,1680338871
92,clyde river,70.4692,-68.5914,-24.87,77,0,6.17,CA,1680338872
93,omboue,-1.5746,9.2618,26.72,80,100,2.13,GA,1680338872
94,arraial do cabo,-22.9661,-42.0278,23.61,85,89,2.65,BR,1680338828
95,olinda,-8.0089,-34.8553,23.85,83,20,1.03,BR,1680338328
96,puerto ayora,-0.7393,-90.3518,24.19,98,39,0.45,EC,1680338873
97,vila franca do campo,37.7167,-25.4333,16.23,87,100,3.98,PT,1680338873
98,severodvinsk,64.5635,39.8302,-1.94,81,90,2.48,RU,1680338873
99,nome,64.5011,-165.4064,-8.96,79,100,1.54,US,1680338874
100,the valley,18.217,-63.0578,25.05,70,2,10.42,AI,1680338875
101,torbay,47.6666,-52.7314,-3.61,92,0,5.14,CA,1680338875
102,san patricio,28.017,-97.5169,23.97,97,95,0.59,US,1680338875
103,whitianga,-36.8333,175.7,18.45,95,100,2.09,NZ,1680338875
104,thompson,55.7435,-97.8558,-12.91,85,100,1.03,CA,1680338876
105,vestmannaeyjar,63.4427,-20.2734,6.02,69,96,7.44,IS,1680338876
106,aklavik,68.2191,-135.0107,-21.93,99,99,1.56,CA,1680338876
107,cape town,-33.9258,18.4232,25.06,59,0,5.66,ZA,1680338822
108,new norfolk,-42.7826,147.0587,13.72,64,82,0.89,AU,1680338877
109,caravelas,-17.7125,-39.2481,21.99,94,11,2.29,BR,1680338877
110,laguna,38.421,-121.4238,9.06,84,0,2.06,US,1680338878
111,soyo,-6.1349,12.3689,26.59,81,99,4.83,AO,1680338878
112,jaisalmer,26.9147,70.9181,32.73,17,10,2.17,IN,1680338878
113,rio gallegos,-51.6226,-69.2181,8.03,93,100,0.51,AR,1680338879
114,salinopolis,-0.6136,-47.3561,24.82,86,99,3.23,BR,1680338879
115,vao,-22.6667,167.4833,25.68,82,2,5.07,NC,1680338879
116,port lincoln,-34.7333,135.8667,15.44,63,43,5.92,AU,1680338879
117,sao joao da barra,-21.6403,-41.0511,23.17,83,30,1.82,BR,1680338880
118,dukat,62.55,155.55,-7.95,96,100,1.8,RU,1680338880
119,jiayuguan,39.8167,98.3,10.87,23,100,6.7,CN,1680338880
120,ribeira grande,38.5167,-28.7,17.22,94,75,6.71,PT,1680338881
121,kavieng,-2.5744,150.7967,25.85,86,100,4.14,PG,1680338881
122,promyshlennaya,54.9159,85.6385,-4.47,63,100,2.2,RU,1680338881
123,mitchell,43.7094,-98.0298,-4.01,81,0,11.32,US,1680338691
124,rawson,-43.3002,-65.1023,14.78,31,99,14.11,AR,1680338882
125,codrington,-38.2667,141.9667,11.81,66,24,3.05,AU,1680338882
126,mahibadhoo,3.7833,72.9667,28.39,71,5,3.38,MV,1680338883
127,santa helena de goias,-17.8136,-50.5969,21.27,78,95,1.08,BR,1680338883
128,raton,36.9034,-104.4391,-1.66,40,0,4.63,US,1680338857
129,beloha,-25.1667,45.05,27.43,63,100,4.06,MG,1680338884
130,port hedland,-20.3167,118.5667,33.03,46,10,6.17,AU,1680338885
131,viesca,25.35,-102.8,21.54,37,100,1.8,MX,1680338885
132,mbanza-ngungu,-5.25,14.8667,24.3,79,95,1.99,CD,1680338886
133,marzuq,14.4,46.4667,29.11,44,88,1.22,YE,1680338886
134,puerto del rosario,28.5004,-13.8627,19.86,68,0,5.14,ES,1680338538
135,port alfred,-33.5906,26.891,22.32,60,8,0.89,ZA,1680338887
136,moose factory,51.2585,-80.6094,-15.0,85,40,2.57,CA,1680338887
137,evinayong,1.4368,10.5512,24.19,82,98,1.14,GQ,1680338887
138,narsaq,60.9167,-46.05,-6.88,67,71,3.29,GL,1680338888
139,raychikhinsk,49.7838,129.4121,12.0,32,100,9.96,RU,1680338888
140,rayagada,19.1667,83.4167,32.37,42,87,2.94,IN,1680338660
141,suntar,62.1444,117.6319,-11.72,80,100,2.58,RU,1680338889
142,airai,-8.9266,125.4092,18.02,96,100,0.67,TL,1680338889
143,butaritari,3.0707,172.7902,27.53,74,100,3.51,KI,1680338890
144,kabare,-2.4683,28.8242,22.17,72,93,1.2,CD,1680338890
145,elko,41.0002,-115.5012,-1.99,86,44,0.57,US,1680338766
146,kahului,20.8947,-156.47,23.8,78,75,1.79,US,1680338891
147,half moon bay,37.4636,-122.4286,8.88,85,0,0.0,US,1680338891
148,gwadar,25.1216,62.3254,26.27,67,4,6.83,PK,1680338654
149,mortka,59.3322,66.0214,5.39,65,100,6.33,RU,1680338892
150,viloco,-16.95,-67.55,4.25,88,47,1.54,BO,1680338892
151,bandarbeyla,9.4942,50.8122,29.62,62,13,4.46,SO,1680338892
152,coquimbo,-29.9533,-71.3436,14.85,100,100,1.54,CL,1680338597
153,concarneau,47.875,-3.9225,10.16,80,72,8.53,FR,1680338893
154,nanlong,31.3533,106.0631,22.26,54,92,2.69,CN,1680338893
155,melfi,40.9965,15.6514,15.31,57,34,9.02,IT,1680338894
156,petropavlovsk-kamchatskiy,53.0452,158.6483,-0.67,86,0,3.0,RU,1680338894
157,takhtamygda,54.1,123.5667,4.13,93,100,2.8,RU,1680338894
158,hithadhoo,-0.6,73.0833,28.04,74,39,4.14,MV,1680338895
159,batemans bay,-35.7167,150.1833,18.39,84,72,3.6,AU,1680338896
160,pisco,-13.7,-76.2167,23.03,88,20,1.54,PE,1680338896
161,naze,28.3667,129.4833,20.51,86,100,2.93,JP,1680338896
162,soyaniquilpan,19.9833,-99.5,14.79,62,70,0.23,MX,1680338897
163,havre-saint-pierre,50.2334,-63.5986,-1.0,93,100,2.57,CA,1680338648
164,namatanai,-3.6667,152.4333,24.02,92,100,2.51,PG,1680338897
165,saint anthony,45.0205,-93.218,-1.21,94,100,8.23,US,1680338768
166,najran,17.4924,44.1277,28.36,25,39,3.35,SA,1680338898
167,aguimes,27.9054,-15.4461,21.48,41,0,8.75,ES,1680338898
168,litovko,49.2361,135.1742,7.3,55,16,2.1,RU,1680338898
169,bambous virieux,-20.3428,57.7575,30.14,66,40,5.66,MU,1680338899
